subject,course,period,workload
Algoritmos e Programação I  ,"Ciência da Computação, Engenharia de Computação, Tecnologia em Redes de Computadores",Integral,102 Horas
Vetores e Geometria Analítica,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Fundamentos de Teoria da Computação,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Cálculo I,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação",Integral,85 Horas
Probabilidade e Estatística,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Algoritmos e Programação II,"Ciência da Computação, Engenheria de Computação, Tecnologia em Redes de Computadores",Integral,102 Horas
Sistemas Digitais,"Ciência da Computação, Engenharia de Computação",Integral,68 Horas
Cálculo II,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,85 Horas
Álgebra Linear,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Linguagem de Programação Orientada a Objetos,"Ciência da Computação, Engenharia de Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Linguagens Formais e Autômatos,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Banco de Dados,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Estrutura de Dados e Programação,"Ciência da Computação, Engenharia de Computação, Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Engenharia de Software,"Ciência da Computação, Engenharia de Computação, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Arquitetura de Computadores I,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Teoria dos Grafos e seus Algoritmos,"Ciência da Computação, Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Métodos Numéricos,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Projeto e Análise de Algoritmos I,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Inteligência Artificial,"Ciência da Computação, Engenharia de Computação, Sistemas de Informação, Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Arquitetura de Computadores II,"Ciência da Computação, Engenharia de Computação, Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Compiladores I,"Ciência da Computação, Engenharia de Computação, Sistemas de Informação(OPT)",Integral,68 Horas
Sistemas Operacionais,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Análise e Projeto de Software Orientado a Objetos,"Ciência da Computação, Engenharia de Software, Sistemas de Informação, Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Redes de Computadores,"Ciência da Computação, Engenharia de Computação, Engenharia de Software, Sistemas de Informação(OPT)",Integral,68 Horas
Computação Gráfica,"Ciência da Computação, Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Algoritmos Paralelos,"Ciência da Computação, Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Sistemas Distribuídos,"Ciência da Computação, Engenharia de Software, Engenharia de Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Computação e Sociedade,"Ciência da Computação, Engenheria de Computação, Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Integral,34 Horas
Introdução a Engenharia de Computação,Engenharia de Computação,Integral,34 Horas
Física I,"Engenharia de Computação, Ciência da Computação(OPT)",Integral,68 Horas
Sociedade e Ambiente,Engenharia de Computação,Integral,34 Horas
Laboratório de Fisica I,Engenharia de Computação,Integral,34 Horas
Física II,Engenharia de Computação,Integral,68 Horas
Cálculo III,"Engenharia de Computação, Ciência da Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,85 Horas
Laboratório de FIsica II,Engenharia de Computação,Integral,34 Horas
Equações Diferenciais,"Engenharia de Computação, Ciência da Computação(OPT)",Integral,51 Horas
Mecânica Geral,Engenharia de Computação,Integral,51 Horas
Física III,"Engenharia de Computação, Ciência da Computação(OPT)",Integral,68 Horas
Circuitos Elétricos,Engenharia de Computação,Integral,68 Horas
Desenho por Computador,Engenharia de Computação,Integral,68 Horas
Mecânica dos Sólidos,Engenharia de Computação,Integral,51 Horas
Fundamentos de Fenômenos de Transporte,Engenharia de Computação,Integral,51 Horas
Circuitos Eletrônicos,Engenharia de Computação,Integral,102 Horas
Química Geral,Engenharia de Computação,Integral,68 Horas
Análise de Sinais e Sistemas,"Engenharia de Computação, Ciência da Computação(OPT)",Integral,68 Horas
Fundamentos de Economia,Engenharia de Computação,Integral,34 Horas
Microcontroladores e Aplicações,Engenharia de Computação,Integral,102 Horas
Comunicação e Transmissão de Dados,"Engenharia de Computação, Ciência da Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Controle e Servomecanismos,Engenharia de Computação,Integral,102 Horas
Sistemas de Integração e Automação Industrial,Engenharia de Computação,Integral,68 Horas
Laboratório de Hardware,"Engenharia de Computação, Ciência da Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Fundamentos da Administração,Engenharia de Computação,Integral,34 Horas
Introdução à Administração,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores, Ciência da Computação(OPT)",Integral,68 Horas
"Engenharia de Software, Ciência da Computação(OPT), Engenharia de Computação(OPT)",Engenharia de Software,Integral,68 Horas
Algoritmos e Programação Orientada a Objetos I,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas",Integral,102 Horas
Modelagem de Processos de Negócio,"Engenharia de Software, Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Processos de Software,"Engenharia de Software, Ciência da Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,34 horas
Algoritmos e Programação Orientada a Objetos II,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas",Integral,102 Horas
Introdução a Sistemas Digitais,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Integral,34 Horas
Estrutura de Dados e Programação Orientada a Objetos,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,102 Horas
Engenharia de Requisitos,"Engenharia de Software, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Laboratório de Banco de Dados,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Programação para Web,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,102 Horas
Gerência de Configuração de Software,Engenharia de Software,Integral,34 Horas
Interação Humano-Computador,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Programação para Dispositivos Móveis,"Engenharia de Software, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Gerência de Projetos,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Arquitetura de Software,Engenharia de Software,Integral,68 Horas
"Verificação, Validação e Testes de Software I","Engenharia de Software, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Manutenção de Software,"Engenharia de Software, Ciência da Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,34 Horas
"Verificação, Validação e Testes de Software II","Engenharia de Software, Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Análise e Projeto de Aplicações Web,"Engenharia de Software, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Empreendedorismo,"Engenharia de Software, Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT)",Integral,34 Horas
Medição de Software,Engenharia de Software,Integral,34 Horas
Fundamentos de Tecnologia da Informação,"Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT)",Noturno,34 Horas
Planejamento Estratégico,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Qualidade de Software,"Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Comportamento Organizacional,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Governança de Tecnologia da Informação,"Sistemas de Informação, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Segurança e Auditoria de Sistemas,"Sistemas de Informação, Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Redes de Computadores(OPT)",Noturno,68 Horas
Introdução ao Cálculo,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,102 Horas
Estatística,Tecnologia em Análise e Desenvolvimento de Sistemas,Noturno,68 Horas
Fundamentos de Redes de Computadores,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
Fundamentos de Arquitetura de Computadores,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
Introdução a Sistemas Operacionais,"Tecnologia em Análise e Desenvolvimento de Sistemas, Tecnologia em Redes de Computadores",Noturno,68 Horas
Construção de Software I,"Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,102 Horas
Construção de Software II,"Tecnologia em Análise e Desenvolvimento de Sistemas, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,102 Horas
Eletricidade,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Sistemas de Informação(OPT)",Noturno,51 Horas
Instalações Elétricas,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,51 Horas
Cabeamento Estruturado,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Noturno,68 Horas
Ferramenta CAD,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,34 Horas
Programação para Redes,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
Arquitetura TCP/IP,"Tecnologia em Redes de Computadores, Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Noturno,68 Horas
